SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_OrignalCode,VarID_Code,Count,OriginalCode_1,OriginalCode_2,OriginalCode_3,OriginalCode_4,OriginalCode_5,CodeDescription,DoubleCoding_notes,ShortName
1,V1,Overall pattern of interaction,"The manner in which speaking time is divided between two people in a conversation, considering the entire recorded conversation as a whole. The two speakers are referred to as A and B.",Speaker Role/Relationship,Categorical,Lomax & Markel (1971-72); Wood (2021),,1_NA,1_NA,8,NA,,,,,Missing data,,Missing data
2,,,,,,,,1_1,1_2,27,1,,,,,Only speaker A is heard.,,A
3,,,,,,,,1_2,1_4,2,2,,,,,Predominance of A with B's contribution confined to some interjections.,,Ab
4,,,,,,,,1_3,1_8,21,3,,,,,A's stretches are far longer and far more frequent than B's.,,A >> B
5,,,,,,,,1_4,1_16,42,4,,,,,A's stretches are longer and more frequent than B's.,,A > B
6,,,,,,,,1_5,1_32,71,5,,,,,A and B more or less share the total air time.  It is hard to tell which is dominant.,,A = B
7,,,,,,,,1_5_4,1_48,7,5,4,,,,The following two points are double coded: 1) A's stretches are longer and more frequent than B's; and 2) A and B more or less share the total air time.,,A > B and A = B
8,V2,Pattern of interaction in stretches,"The predominant pattern of turn-taking in stretches of conversation, regardless of which speaker assumes the leading role in each individual stretch.",Speaker Role/Relationship,Categorical,Lomax & Markel (1971-72); Wood (2021),,2_NA,2_NA,32,NA,,,,,Missing data,,Missing data
9,,,,,,,,2_1,2_2,41,1,,,,,"One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent.",,"A longer, more frequent / B shorter, less frequent"
10,,,,,,,,2_2,2_4,24,2,,,,,"One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,A longer / B short and frequent
11,,,,,,,,2_2_1,2_6,8,2,1,,,,"The following two points are double coded: 1) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent; and 2) One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,"A longer / B short and frequent and A longer, more frequent / B shorter, less frequent"
12,,,,,,,,2_3,2_8,3,3,,,,,"Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other.",,A > B rapid
13,,,,,,,,2_3_1,2_10,2,3,1,,,,"The following two points are double coded: 1) Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other; and 2) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent.",,"A > B rapid and A longer, more frequent / B shorter, less frequent"
14,,,,,,,,2_3_2,2_12,1,3,2,,,,"The following two points are double coded: 1) Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other; and 2) One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,A > B rapid and A longer / B short and frequent
15,,,,,,,,2_4,2_16,15,4,,,,,Both speakers speak the same amount.,,A = B moderate
16,,,,,,,,2_4_1,2_18,9,4,1,,,,"The following two points are double coded: 1) Both speakers speak the same amount; and 2) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent.",,"A = B moderate and A longer, more frequent / B shorter, less frequent"
17,,,,,,,,2_4_2,2_20,33,4,2,,,,"The following two points are double coded: 1) Both speakers speak the same amount; and 2) One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,A = B moderate and A longer / B short and frequent
18,,,,,,,,2_4_2_1,2_22,5,4,2,1,,,"The following three points are triple coded: 1) Both speakers speak the same amount; 2) One speaker's contributions are longer, while the other speaker's are shorter and frequent; and 3) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent.",,"A = B moderate and A longer / B short and frequent and A longer, more frequent / B shorter, less frequent"
19,,,,,,,,2_4_3,2_24,4,4,3,,,,"The following two points are double coded: 1) Both speakers speak the same amount; and 2) Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other.",,A = B moderate and A > B rapid
20,,,,,,,,2_5,2_32,1,5,,,,,"Rapid exchanges of less than 2 seconds in duration, where both speakers speak the same amount.",,A = B rapid
21,,,,,,,,2_5_1,2_34,1,5,1,,,,"The following two points are double coded: 1) Rapid exchanges of less than 2 seconds in duration, where both speakers speak the same amount; and 2) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent.",,"A = B rapid and A longer, more frequent / B shorter, less frequent"
22,,,,,,,,2_5_2,2_36,1,5,2,,,,"The following two points are double coded: 1) Rapid exchanges of less than 2 seconds in duration, where both speakers speak the same amount; and 2) One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,A = B rapid and A longer / B short and frequent
23,,,,,,,,2_5_3,2_40,4,5,3,,,,"The following two points are double coded: 1) Rapid exchanges of less than 2 seconds in duration, where both speakers speak the same amount; and 2) Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other.",,A = B rapid and A > B rapid
24,,,,,,,,2_5_4,2_48,1,5,4,,,,"The following two points are double coded: 1) Rapid exchanges of less than 2 seconds in duration, where both speakers speak the same amount; and 2) Moderate tempo exchanges where both speakers speak the same amount.",,A = B rapid and A = B moderate
25,,,,,,,,2_5_4_2_1,2_54,1,5,4,2,1,,"The following four points are quadruple coded: 1) Rapid exchanges of less than 2 seconds in duration, where both speakers speak the same amount; 2) Moderate tempo exchanges where both speakers speak the same amount; 3) One speaker's contributions are longer, more frequent, while the other speaker's are shorter, less frequent; and 4) One speaker's contributions are longer, while the other speaker's are shorter and frequent.",,"A = B rapid and A = B moderate and A longer / B short and frequent and A longer, more frequent / B shorter, less frequent"
26,,,,,,,,2_5_4_3,2_56,2,5,4,3,,,"The following three points are triple coded: 1) Rapid exchanges of less than 2 seconds in duration, where both speakers speak the same amount; 2) Moderate tempo exchanges where both speakers speak the same amount; 3) Rapid exchanges of less than 2 seconds in duration, where one speaker speaks more than the other.",,A = B rapid and A = B moderate and A > B rapid
27,V3,Speaker Similarity,The overall similarity of the speaking style of the actors in terms of voice qualities and dynamics.,Speaker Role/Relationship,Ordinal,Lomax & Markel (1971-72); Wood (2021),,3_NA,3_NA,32,NA,,,,,Missing data,,Missing data
28,,,,,,,,3_1,3_2,29,1,,,,,The speakers' voices sound very similar. One speaker might be mistaken for another.,,Very similar
29,,,,,,,,3_2,3_4,75,2,,,,,The speakers' voices sound rather similar.,,Rather similar
30,,,,,,,,3_2_1,3_6,8,2,1,,,,The following two points are double coded: 1) Very similar and 2) Rather similar,,Very similar and Rather similar
31,,,,,,,,3_3,3_8,33,3,,,,,The speakers' voices sound rather different.,,Rather different
32,,,,,,,,3_3_2,3_12,6,3,2,,,,The following two points are double coded: 1) Rather different and 2) Rather similar,,Rather different and Rather similar
33,,,,,,,,3_4,3_16,3,4,,,,,The speakers' voices sound very different.,,Very different
34,,,,,,,,3_4_3,3_24,2,4,3,,,,The following two points are double coded: 1) Very different and 2) Rather different,,Very different and Rather different
35,V4,Principle Type of Relationship,The manner in which transitions between speakers occur.,Speaker Role/Relationship,Categorical,Lomax & Markel (1971-72); Wood (2021),,4_NA,4_NA,31,NA,,,,,Missing data,,Missing data
36,,,,,,,,4_1,4_2,3,1,,,,,Interlocking of very brief speech bursts between two or more speakers that establishes some sort of marked rhythmic pattern. Frequently there is overlap and supportive interjections as well. Includes overlap which does not turn into continual simultaneous activity where one speaker masks another.,,Interlock
37,,,,,,,,4_2,4_4,9,2,,,,,Alternations between A and B in which the beginnings of A's speeches coincide with the end of B's.,,Overlap
38,,,,,,,,4_2_1,4_6,2,2,1,,,,The following two points are double coded: 1) Alternations between A and B in which the beginnings of A's speeches coincide with the end of B's; and 2) Interlocking of very brief speech bursts between two or more speakers that establishes some sort of marked rhythmic pattern. Frequently there is overlap and supportive interjections as well. Includes overlap which does not turn into continual simultaneous activity where one speaker masks another.,,Overlap and Interlock
39,,,,,,,,4_3,4_8,28,3,,,,,Dialogue in which alternations between participants leave no spaces between their speeches. Also includes cases of brief and unclear overlap,,Continuous
40,,,,,,,,4_3_2,4_12,35,3,2,,,,The following two points are double coded: 1) Dialogue in which alternations between participants leave no spaces between their speeches. Also includes cases of brief and unclear overlap; and 2) Alternations between A and B in which the beginnings of A's speeches coincide with the end of B's,,Continuous and Overlap
41,,,,,,,,4_4,4_16,24,4,,,,,Dialogue in which marked and clearly perceptible spaces regularly occur between speakers.,,Spaced
42,,,,,,,,4_4_1,4_18,1,4,1,,,,The following two points are double coded: 1) Dialogue in which marked and clearly perceptible spaces regularly occur between speakers; and 2) Interlocking of very brief speech bursts between two or more speakers that establishes some sort of marked rhythmic pattern. Frequently there is overlap and supportive interjections as well. Includes overlap which does not turn into continual simultaneous activity where one speaker masks another.,,Spaced and Interlock
43,,,,,,,,4_4_2,4_20,5,4,2,,,,The following two points are double coded: 1) Dialogue in which marked and clearly perceptible spaces regularly occur between speakers; and 2) Alternations between A and B in which the beginnings of A's speeches coincide with the end of B's.,,Spaced and Overlap
44,,,,,,,,4_4_3,4_24,32,4,3,,,,The following two points are double coded: 1) Dialogue in which marked and clearly perceptible spaces regularly occur between speakers; and 2) Dialogue in which alternations between participants leave no spaces between their speeches. Also includes cases of brief and unclear overlap,,Spaced and Continuous
45,,,,,,,,4_4_3_2,4_28,18,4,3,2,,,The following three points are triple coded: 1) Dialogue in which marked and clearly perceptible spaces regularly occur between speakers; 2) Dialogue in which alternations between participants leave no spaces between their speeches. Also includes cases of brief and unclear overlap; and 3) Alternations between A and B in which the beginnings of A's speeches coincide with the end of B's,,Spaced and Continuous and Overlap
46,V5,Stability of Role Relation,"Whether the speakers maintain a fairly constant relationship to each other throughout the course of the conversation, or whether the relationship is changeful.",Speaker Role/Relationship,Categorical,Lomax & Markel (1971-72); Wood (2021),,5_NA,5_NA,30,NA,,,,,Missing data,,Missing data
47,,,,,,,,5_1,5_2,83,1,,,,,The relationship between the speakers remains more or less the same throughout the conversation.,,More or less stable
48,,,,,,,,5_2,5_4,7,2,,,,,The speakers alternate between two different relationships.,,Alternation between 2 relationships
49,,,,,,,,5_2_1,5_6,2,2,1,,,,The following two points are double coded: 1) The speakers alternate between two different relationships; and 2) The relationship between the speakers remains more or less the same throughout the conversation.,,Alternation between 2 relationships and More or less stable
50,,,,,,,,5_3,5_8,48,3,,,,,The relationship between the speakers is moderately changeful.,,Moderate changeful
51,,,,,,,,5_3_1,5_10,2,3,1,,,,The following two points are double coded: 1) The relationship between the speakers is moderately changeful; and 2) The relationship between the speakers remains more or less the same throughout the conversation.,,Moderate changeful and More or less stable
52,,,,,,,,5_3_2,5_12,1,3,2,,,,The following two points are double coded: 1) The relationship between the speakers is moderately changeful; and 2) The speakers alternate between two different relationships.,,Moderate changeful and Alternation between 2 relationships
53,,,,,,,,5_4,5_16,10,4,,,,,The relationship between the speakers is flexible and changeful.,,Flexible & changeful
54,,,,,,,,5_4_2,5_20,1,4,2,,,,The following two points are double coded: 1) The relationship between the speakers is flexible and changeful; and 2) The speakers alternate between two different relationships.,,Flexible & changeful and Alternation between 2 relationships
55,,,,,,,,5_4_3,5_24,4,4,3,,,,The following two points are double coded: 1) The relationship between the speakers is flexible and changeful; and 2) The relationship between the speakers is moderately changeful.,,Flexible & changeful and Moderate changeful
56,V6,Longest speech,"The length, in seconds, of the longest single stretch any one speaker continues, even in spite of interruptions or interjections, before another speaker takes over.",Speech Length/Timing,Ordinal,Lomax & Markel (1971-72); Wood (2021),,6_NA,6_NA,54,NA,,,,,Missing data,,Missing data
57,,,,,,,,6_1,6_2,34,1,,,,,0-19 seconds,,0-19
58,,,,,,,,6_2,6_4,33,2,,,,,20-29 seconds,,20-29
59,,,,,,,,6_3,6_8,28,3,,,,,30-39 seconds,,30-39
60,,,,,,,,6_4,6_16,20,4,,,,,40-59 seconds,,40-59
61,,,,,,,,6_5,6_32,19,5,,,,,60 seconds or longer,,60 plus
62,V7,Number of interventions in longest speech,"Count the number, if any, of utterances by the speaker who does not hold the floor during the longest speech measured in V6.",Speech Length/Timing,Ordinal,Lomax & Markel (1971-72); Wood (2021),,7_NA,7_NA,54,NA,,,,,Missing data,,Missing data
63,,,,,,,,7_1,7_2,10,1,,,,,2-3 interventions,,2-3
64,,,,,,,,7_2,7_4,22,2,,,,,4-5 interventions,,4-5
65,,,,,,,,7_3,7_8,23,3,,,,,6-7 interventions,,6-7
66,,,,,,,,7_4,7_16,23,4,,,,,8-12 interventions,,8-12
67,,,,,,,,7_5,7_32,16,5,,,,,13-20 interventions,,13-20
68,,,,,,,,7_6,7_64,14,6,,,,,21 interventions or more,,21 plus
69,,,,,,,,7_7,7_128,26,7,,,,,No interventions,,None
70,V8,Longest speech burst without pause/interruption,"The length, in seconds, of the longest single stretch of speech in the conversation by a single speaker, without any pauses or interruptions.",Speech Length/Timing,Ordinal,Lomax & Markel (1971-72); Wood (2021),,8_NA,8_NA,6,NA,,,,,Missing data,,Missing data
71,,,,,,,,8_1,8_2,5,1,,,,,1-1.5 seconds,,1-1.5
72,,,,,,,,8_2,8_4,28,2,,,,,2-2.5 seconds,,2-2.5
73,,,,,,,,8_3,8_8,53,3,,,,,3-3.5 seconds,,3-3.5
74,,,,,,,,8_4,8_16,48,4,,,,,4-4.5 seconds,,4-4.5
75,,,,,,,,8_5,8_32,27,5,,,,,5-5.5 seconds,,5-5.5
76,,,,,,,,8_6,8_64,11,6,,,,,6-6.5 seconds,,6-6.5
77,,,,,,,,8_7,8_128,9,7,,,,,7-7.5 seconds,,7-7.5
78,,,,,,,,8_8,8_256,1,8,,,,,8-8.5 seconds,,8-8.5
79,,,,,,,,8_9,8_512,0,9,,,,,9 seconds or longer,,9 plus
80,V9A,Dominant speech burst 1,"The most prominent length, in seconds, of speech bursts (stretches of speech by a single speaker without pause or interruption), measured across two separate minute-long segments of the conversation that are considered typical.",Speech Length/Timing,Ordinal,Lomax & Markel (1971-72); Wood (2021),"In V9A-C, if any of the three most common speech burst lengths fall under the same code, the appropriate code is still coded as usual on each line. All three variables might have the same code.",9A_NA,9A_NA,1,NA,,,,,Missing data,,Missing data
81,,,,,,,,9A_1,9A_2,125,1,,,,,0.5-1.5 seconds,,0.5-1.5
82,,,,,,,,9A_2,9A_4,37,2,,,,,2-2.5 seconds,,2-2.5
83,,,,,,,,9A_3,9A_8,17,3,,,,,3-3.5 seconds,,3-3.5
84,,,,,,,,9A_4,9A_16,5,4,,,,,4-4.5 seconds,,4-4.5
85,,,,,,,,9A_5,9A_32,3,5,,,,,5-5.5 seconds,,5-5.5
86,,,,,,,,9A_6,9A_64,0,6,,,,,6-6.5 seconds,,6-6.5
87,,,,,,,,9A_7,9A_128,0,7,,,,,7-7.5 seconds,,7-7.5
88,,,,,,,,9A_8,9A_256,0,8,,,,,8-8.5 seconds,,8-8.5
89,,,,,,,,9A_9,9A_512,0,9,,,,,9 seconds or more,,9 plus
90,V9B,Dominant speech burst 2,"The second most prominent length, in seconds, of speech bursts (stretches of speech by a single speaker without pause or interruption), measured across two separate minute-long segments of the conversation that are considered typical.",Speech Length/Timing,Ordinal,Lomax & Markel (1971-72); Wood (2021),"In V9A-C, if any of the three most common speech burst lengths fall under the same code, the appropriate code is still coded as usual on each line. All three variables might have the same code.",9B_NA,9B_NA,4,NA,,,,,Missing data,,Missing data
91,,,,,,,,9B_1,9B_2,115,1,,,,,0.5-1.5 seconds,,0.5-1.5
92,,,,,,,,9B_2,9B_4,51,2,,,,,2-2.5 seconds,,2-2.5
93,,,,,,,,9B_3,9B_8,12,3,,,,,3-3.5 seconds,,3-3.5
94,,,,,,,,9B_4,9B_16,4,4,,,,,4-4.5 seconds,,4-4.5
95,,,,,,,,9B_5,9B_32,1,5,,,,,5-5.5 seconds,,5-5.5
96,,,,,,,,9B_6,9B_64,0,6,,,,,6-6.5 seconds,,6-6.5
97,,,,,,,,9B_7,9B_128,1,7,,,,,7-7.5 seconds,,7-7.5
98,,,,,,,,9B_8,9B_256,0,8,,,,,8-8.5 seconds,,8-8.5
99,,,,,,,,9B_9,9B_512,0,9,,,,,9 seconds or more,,9 plus
100,V9C,Dominant speech burst 3,"The third most prominent length, in seconds, of speech bursts (stretches of speech by a single speaker without pause or interruption), measured across two separate minute-long segments of the conversation that are considered typical.",Speech Length/Timing,Ordinal,Lomax & Markel (1971-72); Wood (2021),"In V9A-C, if any of the three most common speech burst lengths fall under the same code, the appropriate code is still coded as usual on each line. All three variables might have the same code.",9C_NA,9C_NA,47,NA,,,,,Missing data,,Missing data
101,,,,,,,,9C_1,9C_2,71,1,,,,,0.5-1.5 seconds,,0.5-1.5
102,,,,,,,,9C_2,9C_4,45,2,,,,,2-2.5 seconds,,2-2.5
103,,,,,,,,9C_3,9C_8,19,3,,,,,3-3.5 seconds,,3-3.5
104,,,,,,,,9C_4,9C_16,1,4,,,,,4-4.5 seconds,,4-4.5
105,,,,,,,,9C_5,9C_32,3,5,,,,,5-5.5 seconds,,5-5.5
106,,,,,,,,9C_6,9C_64,0,6,,,,,6-6.5 seconds,,6-6.5
107,,,,,,,,9C_7,9C_128,1,7,,,,,7-7.5 seconds,,7-7.5
108,,,,,,,,9C_8,9C_256,0,8,,,,,8-8.5 seconds,,8-8.5
109,,,,,,,,9C_9,9C_512,1,9,,,,,9 seconds or more,,9 plus
110,V10,Stability of Timing,The degree to which the duration of speech bursts in interchange have regular patterning or are varied.,Speech Length/Timing,Ordinal,Lomax & Markel (1971-72); Wood (2021),,10_NA,10_NA,5,NA,,,,,Missing data,,Missing data
111,,,,,,,,10_1,10_2,26,1,,,,,Speech burst durations are highly patterned.,,Highly patterned
112,,,,,,,,10_2,10_4,74,2,,,,,"Speech burst durations are somewhat patterned, wtih considerable variation.",,Patterned w/ considerable variation
113,,,,,,,,10_2_1,10_6,7,2,1,,,,"The following two points are double coded: 1) Speech burst durations are somewhat patterned, wtih considerable variation; and 2) Speech burst durations are highly patterned.",,Patterned w/ considerable variation and Highly patterned
114,,,,,,,,10_3,10_8,69,3,,,,,Speech burst durations are varied.,,Varied
115,,,,,,,,10_3_2,10_12,7,3,2,,,,"The following two points are double coded: 1) Speech burst durations are varied; and 2) Speech burst durations are somewhat patterned, wtih considerable variation.",,Varied and Patterned w/ considerable variation
116,V11,Attempted Interventions,The frequency of brief energetic speech bursts by one speaker during activity by another which seem to represent attempts to take over the leading position in the dialogue.,,Ordinal,Lomax & Markel (1971-72); Wood (2021),,11_NA,11_NA,30,NA,,,,,Missing data,,Missing data
117,,,,,,,,11_1,11_2,36,1,,,,,"Attempted inventions are not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
118,,,,,,,,11_2,11_4,39,2,,,,,"Attempted interventions are infrequent, but noteworthy.",,Occasional
119,,,,,,,,11_2_1,11_6,7,2,1,,,,The following two points are double coded: 1) Little/none and 2) Occasional,,Little/none and Occasional
120,,,,,,,,11_3,11_8,34,3,,,,,A moderate amount of clear attempted interventions.,,Moderate
121,,,,,,,,11_3_2,11_12,9,3,2,,,,The following two points are double coded: 1) Moderate and 2) Occasional,,Moderate and Occasional
122,,,,,,,,11_4,11_16,17,4,,,,,Attempted interventions are frequent.,,Frequent
123,,,,,,,,11_4_3,11_24,8,4,3,,,,The following two points are double coded: 1) Frequent and 2) Moderate,,Frequent and Moderate
124,,,,,,,,11_5,11_32,4,5,,,,,Attempted interventions are very frequent and marked.,,Very frequent
125,,,,,,,,11_5_4,11_48,4,5,4,,,,The following two points are double coded: 1) Very frequent and 2) Frequent,,Very frequent and Frequent
126,V12A,Number interchanges per minute 1,The number of speaker changes (counting even brief interjections) during one minute of conversation.,Interchanges,Ordinal,Lomax & Markel (1971-72); Wood (2021),,12A_NA,12A_NA,37,NA,,,,,Missing data,,Missing data
127,,,,,,,,12A_1,12A_2,23,1,,,,,1-10 interchanges,,1-10
128,,,,,,,,12A_2,12A_4,38,2,,,,,11-15 interchanges,,11-15
129,,,,,,,,12A_3,12A_8,28,3,,,,,16-20 interchanges,,16-20
130,,,,,,,,12A_4,12A_16,33,4,,,,,21-30 interchanges,,21-30
131,,,,,,,,12A_5,12A_32,29,5,,,,,31 interchanges or more,,31 plus
132,V12B,Number interchanges per minute 2,The number of speaker changes (counting even brief interjections) during a second minute of conversation.,Interchanges,Ordinal,Lomax & Markel (1971-72); Wood (2021),,12B_NA,12B_NA,123,NA,,,,,Missing data,,Missing data
133,,,,,,,,12B_1,12B_2,13,1,,,,,1-10 interchanges,,1-10
134,,,,,,,,12B_2,12B_4,11,2,,,,,11-15 interchanges,,11-15
135,,,,,,,,12B_3,12B_8,11,3,,,,,16-20 interchanges,,16-20
136,,,,,,,,12B_4,12B_16,22,4,,,,,21-30 interchanges,,21-30
137,,,,,,,,12B_5,12B_32,8,5,,,,,31 interchanges or more,,31 plus
138,V13,Inter-speaker Transition,The degree of abruptness of the transitions between speakers.,Interchanges,Ordinal,Lomax & Markel (1971-72); Wood (2021),,13_NA,13_NA,32,NA,,,,,Missing data,,Missing data
139,,,,,,,,13_1,13_2,3,1,,,,,Transitions between speakers are easy and gradual.,,Gradual
140,,,,,,,,13_2,13_4,19,2,,,,,Transitions between speakers are somewhat or mostly gradual.,,Two
141,,,,,,,,13_3,13_8,32,3,,,,,"Transitions between speakers are not particularly gradual or abrupt, or there is an equal mix of gradual and abrupt transitions.",,Three
